comuna_residencia,region_residencia,semana,Entero,Porc_label
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,4,4000,0.4
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,12,7999,0.8
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,14,19998,2
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,15,23998,2.4
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,16,31997,3.2
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,17,39997,4
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,18,55996,5.6
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,19,71994,7.2
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,20,111991,11.2
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,21,147988,14.8
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,22,171986,17.2
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,23,187985,18.8
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,24,259979,26
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,25,271978,27.2
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,26,283977,28.4
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,28,291977,29.2
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,29,299976,30
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,30,311975,31.2
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,31,347972,34.8
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,32,379970,38
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,33,387969,38.8
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,34,407967,40.8
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,35,431965,43.2
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,36,463963,46.4
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,37,475962,47.6
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,38,527958,52.8
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,39,575954,57.6
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,40,611951,61.2
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,41,627950,62.8
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,42,643948,64.4
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,43,675946,67.6
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,44,703944,70.4
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,45,755940,75.6
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,46,1267899,126.8
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,47,1627870,162.8
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,48,1839853,184
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,49,1911847,191.2
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,50,1951844,195.2
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,51,1991841,199.2
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,52,2015839,201.6
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,53,2035837,203.6
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,54,2087833,208.8
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,55,2147828,214.8
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,56,2211823,221.2
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,57,2271818,227.2
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,58,2311815,231.2
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,59,2351812,235.2
Algarrobo,Región de Valparaíso,4,13180,1.3
Algarrobo,Región de Valparaíso,5,59312,5.9
Algarrobo,Región de Valparaíso,7,65902,6.6
Algarrobo,Región de Valparaíso,9,72492,7.2
Algarrobo,Región de Valparaíso,10,92263,9.2
Algarrobo,Región de Valparaíso,11,138395,13.8
Algarrobo,Región de Valparaíso,12,217477,21.7
Algarrobo,Región de Valparaíso,13,283379,28.3
Algarrobo,Región de Valparaíso,14,309740,31
Algarrobo,Región de Valparaíso,15,441545,44.2
Algarrobo,Región de Valparaíso,16,533808,53.4
Algarrobo,Región de Valparaíso,17,573349,57.3
Algarrobo,Región de Valparaíso,18,619481,61.9
Algarrobo,Región de Valparaíso,19,626071,62.6
Algarrobo,Región de Valparaíso,20,652432,65.2
Algarrobo,Región de Valparaíso,21,678793,67.9
Algarrobo,Región de Valparaíso,24,685383,68.5
